CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0152,0.9289574564842803,C0192,0.8909366020500273,C0174,0.887510411298547
C0002,C0134,0.9765098212102375,C0043,0.8513606398935643,C0128,0.8205082188637087
C0003,C0129,0.95974250515178,C0031,0.9358314598536528,C0076,0.9191886746921805
C0004,C0108,0.9849846192557464,C0102,0.9300001778852092,C0113,0.8566237202541837
C0005,C0159,0.9998141036250439,C0007,0.9420983934357378,C0186,0.8868837470843276
C0006,C0158,0.8714259342195783,C0126,0.8640854972591524,C0148,0.8416589217468341
C0007,C0159,0.9471873873560714,C0005,0.9420983934357378,C0140,0.8884096164392824
C0008,C0024,0.9402139160708533,C0194,0.8992492366332215,C0047,0.880584296757907
C0009,C0121,0.9285370161221937,C0014,0.8935688231196389,C0060,0.8923406436956437
C0010,C0199,0.9963146427805853,C0062,0.9805373283536443,C0069,0.8912038290019021
C0011,C0174,0.9494114232373214,C0108,0.8678906336958325,C0001,0.8485705157434168
C0012,C0195,0.937840445806263,C0013,0.9262907547481817,C0187,0.8870968965289576
C0013,C0087,0.9880399399474502,C0012,0.9262907547481817,C0126,0.8858000023037911
C0014,C0009,0.8935688231196389,C0063,0.8702350975078152,C0060,0.8329202367958636
C0015,C0144,0.9118302501745206,C0033,0.8221821901362495,C0094,0.8197058675376865
C0016,C0183,0.9999652243521496,C0030,0.8976099424313162,C0026,0.8837179989460909
C0017,C0051,0.9399205923730454,C0041,0.9053930407626294,C0179,0.8542652465826829
C0018,C0117,0.9152052503605678,C0046,0.8704767550753882,C0026,0.8640946567344228
C0019,C0132,0.8280524940469913,C0197,0.7963516344752114,C0198,0.7601341148204468
C0020,C0144,0.8883136689411291,C0050,0.8546244874113261,C0042,0.8355083125380323
